file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00479_0128_683693_to_686093,གཉག་ས་ལྷོ་ལྷོ་རེ་ཅིག་བྱས་བྱས། རྩིས་དམ་པོ་ཞེ་བོ་ཞིག་ཡོད་བསྡད་རྒྱོ་ཅིག་ཡིན་ན་ ,gnyag sa lho lho re cig byas byas/_rtsis dam po zhe bo zhig yod bsdad rgyo cig yin na _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00479_0128_683693_to_686093.wav,STT_TT,3,76,2.4,wav16k/STT_TT00479_0128_683693_to_686093.wav,གྙག་ས་ལྷོག་ལྷོག་རེ་ཅིག་བྱས་བྱས། རྩིས་དང་པོ་ཞེ་བོ་ཅིག་ཡོད་བསྡད་རྒྱོ་ཅིག་ཡིན་ན།
STT_TT00479_0129_687661_to_690509,ཡང་ས་གཤུན་པོ་ཡག་པོ་ཞེ་བོ་ཞིག་བྱས། སོན་ཡག་པོ་ཞེ་བོ་ཞིག་ཡོད་ན་ལེ་ ,yang sa gshun po yag po zhe bo zhig byas/_son yag po zhe bo zhig yod na le _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00479_0129_687661_to_690509.wav,STT_TT,3,64,2.848,wav16k/STT_TT00479_0129_687661_to_690509.wav,ཡང་ས་ཆུན་པོ་ཡག་པོ་ཞེ་བོ་ཅིག་བྱས། གསོན་ཡག་པོ་ཞེ་བོ་ཅིག་ཡོད་ན་ལས།
STT_TT00479_0130_694518_to_698806,ཨེ་ནས་ཡང་། པད་མའི་སྡོང་པོ་ཡིན་པ་གཅིག་པ་གཅིག་རྐྱང་རེད་དེ། ལུང་པ་སོ་སོའི་ཐོག་ནས་ཡང་། མ་འདྲ་བ་ཡོང་གི་འདུག་བ།  ,e nas yang /_pad ma'i sdong po yin pa gcig pa gcig rkyang red de/_lung pa so so'i thog nas yang /_ma 'dra ba yong gi 'dug ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00479_0130_694518_to_698806.wav,STT_TT,3,107,4.288,wav16k/STT_TT00479_0130_694518_to_698806.wav,ཨེ་ནས་ཡང་པདྨའི་སྡོང་པོ་ཡིན་པ་གཅིག་པ་གཅིག་རྐྱང་རེད་དེ། ལུང་པ་སོ་སོའི་ཐོག་ནས་ཡང་མ་འདྲེ་བ་ཡོང་གི་འདུག་ག།
STT_TT00479_0131_699190_to_702070,དཔེར་ན་ང་ཚོ་བོད་ལ་སྐྱེས་བསྡད་རྒྱོ་གི་པད་མ་འདི་དང་། རྒྱ་ནག་ནང་གི་སྐྱེས་བསྡད་རྒྱོ་གི་པད་མ་ ,dper na nga tsho bod la skyes bsdad rgyo gi pad ma 'di dang /_rgya nag nang gi skyes bsdad rgyo gi pad ma _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00479_0131_699190_to_702070.wav,STT_TT,3,89,2.88,wav16k/STT_TT00479_0131_699190_to_702070.wav,དཔེར་ན་ང་ཚོ་བོད་ལ་སྐྱེས་བསྡད་རྒྱོ་གི་པདྨ་འདི་དང་། རྒྱ་ནག་ནང་གིས་སྐྱེས་བསྡད་རྒྱོ་གི་པདམ།
STT_TT00479_0132_702358_to_704374,རྒྱ་གར་ལ་སྐྱེས་བསྡད་རྒྱོ་གི་པད་མ། འདི་ཚོ་ཏོག་རྩེ་འདྲ་གི་ཡོད་མ་རེད།  ,rgya gar la skyes bsdad rgyo gi pad ma/_'di tsho tog rtse 'dra gi yod ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00479_0132_702358_to_704374.wav,STT_TT,3,68,2.016,wav16k/STT_TT00479_0132_702358_to_704374.wav,རྒྱ་གར་ལ་སྐྱེས་བསྡད་རྒྱོ་གི་པད་ྨ་འདེ་ཚོ་ཏོག་ཙི་འདྲ་གི་ཡོད་མ་རེད།
STT_TT00479_0133_704726_to_707126,ག་རེ་ཟེར་ན། ས་ཆ་འཁོར་མཐོ་ལོད། གནམ་གཤིས་ཁ་གྲངས་ལོད་ ,ga re zer na/_sa cha 'khor mtho lod/_gnam gshis kha grangs lod _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00479_0133_704726_to_707126.wav,STT_TT,3,51,2.4,wav16k/STT_TT00479_0133_704726_to_707126.wav,ག་རེ་ཟེར་ན། ས་ཆ་ཁོ་མཐོ་ལོད། གནམ་གཤིས་ཁ། གྲང་ལོད།
STT_TT00479_0134_709078_to_712790,དེ་འདྲས་ཅིག སྣ་མིན་སྣ་ཚོགས་མང་པོ་ཞེ་བོ་ཅིག་ཡོང་དགོས་ཡ་འདི། ང་ཚོས་དགོངས་པ་ཡག་པོ་ཞིག་བཞེས་དང་ ,de 'dras cig_sna min sna tshogs mang po zhe bo cig yong dgos ya 'di/_nga tshos dgongs pa yag po zhig bzhes dang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00479_0134_709078_to_712790.wav,STT_TT,3,92,3.712,wav16k/STT_TT00479_0134_709078_to_712790.wav,དེ་འདྲས་ཅིག་སྣ་མིན་སྣ་ཚོགས་མང་པོ་ཞེ་བོ་ཅིག་ཡོང་དགོས་ཡ་འདི། ང་ཚོས་དགོངས་པ་ཡག་པོ་ཅིག་བཞེས་དང།
STT_TT00479_0150_786422_to_788886,པད་མའི་སྡོང་པོ་སྲོག་ཡིན་ན། རྒྱུ་ཡིས་དབྱེ་བའི་སྐྱེ་པ་ཡིན་བྱས།  ,pad ma'i sdong po srog yin na/_rgyu yis dbye ba'i skye pa yin byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00479_0150_786422_to_788886.wav,STT_TT,3,62,2.464,wav16k/STT_TT00479_0150_786422_to_788886.wav,པདྨའི་སྡོང་པོ་སོགས་ཡིས་ནི། རྒྱུ་ཡི་དབྱེ་བས་སྐྱེད་པ་ཡིན།་བྱས།
STT_TT00479_0151_789174_to_792118,ད་རྒྱུ་ལ་འདྲ་མ་འདྲ་མང་པོ་ཞིག་ཡོང་དགོས་ཡ་དེ་ག་རེ། རྒྱུ་དབྱེ་གང་གིས་བྱས་ཤེ་ན།  ,da rgyu la 'dra ma 'dra mang po zhig yong dgos ya de ga re/_rgyu dbye gang gis byas she na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00479_0151_789174_to_792118.wav,STT_TT,3,77,2.944,wav16k/STT_TT00479_0151_789174_to_792118.wav,ད་རྒྱུ་ལ་འདྲ་མ་འདྲ་མང་པོ་ཅིག་ཡོང་དགོས་ཡ་འདི་ག་རེ་ཟེརན། རྒྱུ་ཡི་གང་གིས་བྱས་བཞས་ན།
STT_TT00090_1424.000-1426.050,ཆོས་རབ་ཏུ་རྣམ་འབྱེད་ཀི་ཤེས་རབ་ཕུལ་དུ་བྱུང་བའི་ ,chos rab tu rnam 'byed ki shes rab phul du byung ba'i _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00090_1424.000-1426.050.wav,STT_TT,3,47,2.0499999999999545,wav16k/STT_TT00090_1424.000-1426.050.wav,ཆོས་རབ་ཏུ་རྣམ་འབྱེད་ཀྱི་ཤེས་རབ་ཕུལ་དུ་བྱུང་བའི་
STT_TT00090_1426.200-1426.700,གྲོགས་དང་བཅས་ ,grogs dang bcas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00090_1426.200-1426.700.wav,STT_TT,3,14,0.5,wav16k/STT_TT00090_1426.200-1426.700.wav,གྲོགས་དང་བཅས།
